,precision,recall,f1-score,support
0,0.8846375143843498,0.7104898336414048,0.7880574064582265,47608.0
1,0.22810259856630824,0.4800801508722301,0.30926347760060746,8484.0
accuracy,0.6756400199671968,0.6756400199671968,0.6756400199671968,0.6756400199671968
macro avg,0.556370056475329,0.5952849922568175,0.548660442029417,56092.0
weighted avg,0.7853356134751244,0.6756400199671968,0.7156390991696998,56092.0
