,precision,recall,f1-score,support
0,0.88457721836319,0.7115190724248025,0.7886661544550767,23804.0
1,0.22834026295089335,0.47901933050447904,0.30926109124115364,4242.0
accuracy,0.6763531341367753,0.6763531341367753,0.6763531341367753,0.6763531341367753
macro avg,0.5564587406570417,0.5952692014646408,0.5489636228481152,28046.0
weighted avg,0.7853203844168533,0.6763531341367753,0.716155412169066,28046.0
